cell,dates,nums_cr,pages_table_start,line_order,title
 Relancer NOREADE pour la réalisation du regard EU 22/07/14 : transmettre les actes de vos sous-traitants Mairie d’AUBY – Réhabilitation et extension de la piscine municipale – CR 51 220714-1 6 Pour action Observations,['22-07-2014'],[51],[258],7,Ent Jean LEFEBVRE
" URGENT, tracer niveau fini voirie sur façade ouest pour calage altimétrique escalier issue de secours Mairie d’AUBY – Réhabilitation et extension de la piscine municipale – CR 57 020914.doc 6 Pour action Observations",['26-08-2014'],[57],[302],7,Ent Jean LEFEBVRE
" dès le début de votre intervention le 23/09/13, réaliser fosse de compteur d’eau avec fond béton, 2,30m long x 1,00m larg x 1,30m prof",['17-09-2013'],"[10, 11]","[49, 54]",1,Ent Jean LEFEBVRE
 faire passer hydrocureuse pour dégorger le siphon de la cour de service,['18-11-2014'],"[68, 69, 71]","[373, 379, 384]",6,Ent Jean LEFEBVRE
" la MOA confirme avoir commandé 2 branchements EU sur collecteur, branchements qui seront réalisés pour fin juin 2014",['20-05-2014'],"[43, 44]","[215, 221]",3,Ent Jean LEFEBVRE
 matérialiser niveau fini voirie,['15-07-2014'],"[50, 51, 52, 53, 54]","[251, 258, 265, 274, 282]",3,Ent Jean LEFEBVRE
 mettre protection sur chambre maçonnée de comptage d’eau créée,['22-10-2013'],"[27, 28, 29, 30, 31, 32, 33, 34, 35, 36]","[149, 155, 161, 167, 173, 179, 185, 191, 197, 203]",1,Ent Jean LEFEBVRE
 mettre protection sur chambre maçonnée de comptage d’eau créée DOCUMENTS REMIS EN REUNION,['22-10-2013'],"[15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26]","[77, 83, 89, 95, 101, 107, 113, 119, 125, 137, 143]",2,Ent Jean LEFEBVRE
 mettre protection sur chambre maçonnée de comptage d’eau créée DOCUMENTS REMIS EN REUNION De BC Nord à DR + AGI2D :,['22-10-2013'],[24],[131],1,Ent Jean LEFEBVRE
 mettre protection sur chambre maçonnée de comptage d’eau créée. 29/04/14 : sceller le cadre des trappes d’accès à la chambre,['22-10-2013'],"[43, 44, 46, 47, 48, 49, 50, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68]","[215, 221, 227, 233, 239, 245, 251, 282, 288, 295, 302, 309, 316, 322, 328, 334, 342, 348, 355, 361, 367, 373]",1,Ent Jean LEFEBVRE
 passer furet pour dégorger le siphon de la cour de service,['12-11-2014'],[67],[367],6,Ent Jean LEFEBVRE
 plan attentes électriques éclairage pour le 25/09/13,['24-09-2013'],"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 43, 44, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68]","[54, 59, 65, 71, 77, 83, 89, 95, 101, 107, 113, 119, 125, 131, 137, 143, 149, 155, 161, 167, 173, 179, 185, 191, 197, 203, 215, 221, 227, 233, 239, 245, 251, 258, 265, 274, 282, 288, 295, 302, 309, 316, 322, 328, 334, 342, 348, 355, 361, 367, 373]",2,Ent Jean LEFEBVRE
