cell,dates,nums_cr,pages_table_start,line_order,title
"faire proposition de complément de contrôle d’accès sur la zone remise en forme
humide",['19-03-2014'],"[46, 47, 48, 49, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 81, 82, 83, 84, 85, 86, 87, 88, 90, 91, 92, 98, 99]","[351, 360, 369, 378, 422, 431, 440, 449, 458, 467, 476, 485, 494, 503, 511, 519, 527, 535, 544, 553, 562, 571, 583, 598, 610, 625, 637, 652, 662, 671, 680, 689, 708, 718, 728, 738, 748, 758, 768, 778, 798, 809, 825, 843, 852]",23,BERIM
faire un point sur les pores équipées de gâches électriques,['16-09-2015'],"[86, 87, 88, 90, 91, 92, 98, 99]","[758, 768, 778, 798, 810, 825, 843, 852]",17,BERIM
"fournir un détail de raccordement avec le textile ajouré. 19/06/13 : faire le détail sur la jonction
membrane/ossature/isolation thermique",['13-06-2013'],"[15, 16]","[102, 110]",17,BERIM
"fournir un détail de raccordement avec le textile ajouré. 19/06/13 : faire le détail sur la jonction mem-
brane/ossature/isolation thermique. 03/07/13 : vue en réunion de synthèse le 02/07/13, contre bardage intérieur
isolé nécessaire sur hauteur du R+2 et couvertine à la jonction membrane/textile ajouré et pipeco autour de chaque
épine",['13-06-2013'],"[17, 18, 19, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36]","[118, 126, 133, 155, 162, 169, 177, 184, 192, 199, 207, 214, 222, 229, 238, 254, 262]",18,BERIM
"le planning TCE a été diffusé pour analyse à toutes les entreprises avec retour pour
le 04/10/13. Réunion de signature du planning le 16/10/13 à 14h00 : toutes les entreprises sont
convoquées
Intempéries :
2 jours
1 jour (le 03/07/13 : pluie), 1 jour (le 18/09/13 : pluie)
Effectif :",['25-09-2013'],"[24, 25, 26]","[172, 180, 187]",32,BERIM
"le planning TCE a été diffusé pour analyse à toutes les entreprises avec retour pour le 04/10/13. Réu-
nion de signature du planning le 16/10/13 à 14h00 : toutes les entreprises sont convoquées. 18/12/13 : non pré-
sents, non signés et convoqués le 08/01/14 : SAM+, SUEDE SAUNA
Intempéries :
23 jours
1 jour (le 03/07/13 : pluie), 1 jour (le 18/09/13 : pluie), 1 jour (le 10/10/13 : pluie), 1 jour (le 23/10/13 : vent), 1 jour
(le 25/10/13 : vent), 2 jours (les 28 et 29/10/13), 3 jours (le 04/11/13 : vent, le 05/11/13 : pluie, le 06/11/13 : pluie +
vent), 2 jours (les 07 et 08/11/13 : pluie et vent), 1 jour (le 14/11/13 : vent), 1 jour (le 19/11/13 : pluie), 1 jour (le
21/11/13 : neige), 1 jour (le 03/12/13 : gel), 1 jour (le 11/12/13 : gel), 2 jours (les 12 et 13/12/13 : gel), 1 jour (le
06/01/14 : pluie), 2 jours (les 14 et 15/01/14 : pluie), 1 jour (le 20/01/14 : pluie)
Effectif :",['25-09-2013'],"[39, 40]","[292, 301]",30,BERIM
"manque 4 réservations en PH sous-sol pour siphon de sol dans sanitaires/douches
individuels
ASSISTANT MAITRISE D’OUVRAGE",['26-03-2014'],"[47, 48, 49]","[359, 368, 377]",41,BERIM
"manque deux réservations dans voile file 10 (sans recherche de responsabilité) de
2000x1000mm + ∅250mm. Utilisation de deux réservations 1000x1000mm de part et d’autre
dudit voile pour dédoubler la gaine initiale. Un carottage est à prévoir pour le ∅250mm man-
quant
ASSISTANT MAITRISE D’OUVRAGE",['16-10-2013'],"[27, 28, 29, 30, 32]","[191, 198, 206, 213, 229]",23,BERIM
problème du nombre d’évacuation des EP de toiture à étudier selon plan remis par,['30-10-2013'],"[29, 30, 31, 32, 33]","[207, 214, 222, 230, 238]",18,BERIM
"problème imposte manquante sas ascenseur (x2) + infirmerie plongée (hauteur
châssis 2,10m)",['11-06-2014'],"[58, 59, 60, 62, 63, 64, 65, 66, 67]","[476, 485, 494, 511, 519, 527, 535, 544, 553]",20,BERIM
